gc,gf,gsm,G,Gc,Gf,Gstm
22,17,45,-0.856781631540369,-0.321240465046433,0.455670205338729,1.51341443125832
21,4,23,-0.894009711040039,-0.458260692733435,-1.01744002228954,-0.638821328885078
16,7,13,-1.33990021000962,-0.729822599638261,-0.350127159084713,-1.50569247953246
37,16,28,0.867883421221278,0.170815983444903,0.460316585984477,-0.36088721913514
22,21,52,-0.494077733167676,-0.737287912387639,-0.150640672683962,1.45197770685939
26,22,36,-0.125050011360549,-0.460145292701237,-1.55027812479902,0.33800056172976
42,33,17,1.33534917937373,0.4563365113438,1.28043569281041,-1.02102991539192
22,32,19,-0.573095601316362,-0.618245622226766,2.36212639288916,-0.861121352020306
13,10,41,-2.02006338468527,-0.435060548336512,-0.655233242899446,1.50129482239473
20,34,38,-0.850760341339689,-0.656402575630255,-0.969155216398062,0.644521782716402
34,12,19,0.625492788634451,-0.0369957435889141,-1.32585474629126,-0.76492245363316
39,8,29,0.661698061318323,0.816556712911479,-1.43913859734765,-0.256377760396102
27,37,12,-0.323224354772915,-0.0413883299796921,-0.581005251345809,-1.08304876518688
28,39,36,0.0168024102600327,-0.313471914431157,1.2657039151406,0.200881457426755
31,54,33,0.539524552065471,-0.490469639786428,-0.752997930883595,-2.84949069812912e-4
28,11,14,-0.047361142562192,-0.25916722859595,-0.241756290811304,-1.21939321614451
32,46,23,0.649159734914284,-0.478042928342016,1.55185130458251,-0.911197975584428
16,11,12,-1.57011571932818,-0.427215376789467,0.639658850668265,-1.20511844796138
11,14,17,-2.35467445398599,-0.387125948045053,-0.56158969323724,0.0717714970498798
42,16,28,1.22124532296619,0.610940833646582,-0.10006341696682,-0.0538267151104106
33,26,35,0.452608146052199,0.00324370329638142,-0.736049572698245,0.395825698727506
20,25,40,-0.582067270457295,-1.02203331881583,-0.951179970075766,0.64074083194608
37,23,40,0.665355563969137,0.424153153952662,-0.441755195686727,0.554267212884927
21,12,11,-0.650615009723104,-0.727046482057054,-0.455374364431435,-1.51590118945855
33,37,22,0.246629430171378,0.224336825841967,1.06595534787576,-0.126520980547584
37,16,34,0.523552162403287,0.618882008235305,0.134405155851191,0.965251824689346
44,60,49,1.38303582998393,0.746177633109703,1.76497411689639,1.74679423241139
19,17,8,-1.12710622564131,-0.516584268384547,0.0329339072001199,-1.81091248105947
31,29,31,0.21376864040189,-0.0521031656274724,-1.72703498087391,-0.135971687400767
33,11,30,0.563207862404927,-0.211492160735019,-1.3302022657708,-0.0432490643317498
37,35,24,1.07394943780408,-0.101008842615979,0.929243057648795,-0.451895091489247
33,43,34,0.516634574398072,-0.0783682354644269,1.12689163876577,0.459877990959964
33,42,40,0.163379885418725,0.381072130432912,0.658776559165341,0.649542297640907
28,31,21,-0.293477883317556,0.0728693408101638,-0.622753520286714,-0.650077946443208
24,33,45,-0.226841175711738,-0.801057124215317,0.850218866512049,1.62819979855083
40,54,25,1.32406952502241,0.129249521139231,0.869782321846798,-0.613440160129577
27,16,18,-0.310115867476334,-0.0720749015125724,0.414569795865971,-0.617616714555859
34,42,36,0.565055022377168,0.0260641657641993,1.57493780094325,0.472650970318151
37,46,34,0.868246403164245,0.170353304815687,0.081385616657979,0.565231350351459
31,10,13,-0.0310305776888136,0.269093330088264,-0.272523536098977,-0.997955436319152
31,32,33,0.182591306257279,-0.0032019792236578,0.197747154763179,0.210196123384675
33,27,54,0.609941620633546,-0.233945731979122,-0.465924021646944,1.91275063311681
39,44,21,0.795935558328044,0.64544952064112,0.00715894918140625,-0.769863441903935
40,52,39,1.19636287167894,0.301192787050007,0.910110775223503,0.668288283763873
35,42,31,0.708152792571008,0.0329535390485274,1.03725037640827,0.362148757297158
26,9,20,-0.697206172813924,0.232043294275625,-0.515554277263721,-0.654440947284902
22,11,26,-1.00537201273026,-0.0489187332756642,0.0801953265604665,-0.35075080099629
35,13,34,0.651774526652769,0.0816782849518207,0.45710524159115,-0.0499643674763529
32,20,51,0.246667779138623,0.108756350500736,1.65345711065182,1.86521772975179
31,26,29,0.0913386719534691,0.0899757354073302,-0.29293545771584,-0.181064759919849
29,54,45,0.227296708845127,-0.415628596993548,-0.624085166764119,1.01477615161391
25,27,13,-0.314461381717492,-0.426321924030496,0.382300196207518,-1.19684258185086
36,13,17,0.626602405331364,0.312215268667471,-0.417691921844488,-1.00409758806281
28,16,35,-0.257989583259931,-0.03262065641568,0.838680387518743,0.280088014131198
40,56,28,0.951535410340181,0.622425283309433,0.507968461414348,-0.0884574352211217
35,13,15,0.0753916035548211,0.890129455721147,-1.28359982032316,-1.27509442131666
34,21,63,0.258772113530759,0.425631473883164,-0.89324296127681,2.26532257254467
26,13,16,-0.266910835388396,-0.43165559283545,0.765841026721683,-0.824848564427093
21,33,29,-0.707145956911646,-0.687287799429908,-0.922774464921294,0.712026891628365
26,20,55,0.0115532511045093,-0.731165226284793,-1.25308472303569,1.22974930737631
24,32,19,-0.496186990993565,-0.360835544197368,-1.50854665217849,-0.885513768074447
30,43,35,0.205963726523528,-0.208306570914931,-0.285465691746841,0.234964946814367
